Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
1993-11-10,46.15625,46.5,46.03125,46.5,25.98270606994629,46500,0.0,0.0,0.0
1993-11-11,46.5,46.625,46.34375,46.375,25.912878036499023,88900,0.0,0.0,0.0
1993-11-12,46.46875,46.75,46.4375,46.59375,26.03509521484375,108200,0.0,0.0,0.0
1993-11-15,46.6875,46.6875,46.4375,46.5625,26.01765251159668,243300,0.0,0.0,0.0
1993-11-16,46.65625,46.8125,46.46875,46.78125,26.13986587524414,492600,0.0,0.0,0.0
1993-11-17,46.8125,46.8125,46.40625,46.53125,26.00016975402832,39600,0.0,0.0,0.0
1993-11-18,46.46875,46.5625,46.28125,46.40625,25.93031883239746,240800,0.0,0.0,0.0
1993-11-19,46.25,46.375,46.21875,46.3125,25.877952575683594,106000,0.0,0.0,0.0
1993-11-22,46.1875,46.21875,45.875,46.03125,25.720794677734375,165300,0.0,0.0,0.0
1993-11-23,46.28125,46.3125,46.03125,46.28125,25.8604793548584,89700,0.0,0.0,0.0
1993-11-24,46.40625,46.5,46.34375,46.46875,25.965251922607422,77200,0.0,0.0,0.0
1993-11-26,46.59375,46.59375,46.46875,46.5,25.98270606994629,1019800,0.0,0.0,0.0
1993-11-29,46.625,46.71875,46.3125,46.3125,25.877952575683594,517500,0.0,0.0,0.0
1993-11-30,46.28125,46.5625,46.25,46.34375,25.895410537719727,230000,0.0,0.0,0.0
1993-12-01,46.59375,46.625,46.40625,46.40625,25.93031883239746,379200,0.0,0.0,0.0
1993-12-02,46.5,46.5625,46.40625,46.53125,26.00016975402832,352000,0.0,0.0,0.0
1993-12-03,46.5,46.71875,46.5,46.71875,26.104944229125977,306000,0.0,0.0,0.0
1993-12-06,46.78125,46.9375,46.78125,46.875,26.192258834838867,99500,0.0,0.0,0.0
1993-12-07,46.875,46.90625,46.78125,46.84375,26.174800872802734,88800,0.0,0.0,0.0
1993-12-08,46.84375,46.84375,46.78125,46.84375,26.174800872802734,146700,0.0,0.0,0.0
